Kecamatan;Tahun;Luas Tanam;Luas Panen;Produksi;Produktivitas
Sawahan ;2022;4498;4498;30422;6,76
Sawahan ;2023;4366;4366;29947;6,86
Sawahan ;2024;4480;4480;30764;6,87
Jiwan ;2016;4486;4480;28056;6,26
Jiwan ;2017;4378;4576;28495;6,23
Jiwan ;2018;4621;4621;29929;6,48
Jiwan ;2019;4440;4440;28601;6,44
Jiwan ;2020;4396;4396;30741;6,99
Jiwan ;2021;4616;4616;31867;6,90
Jiwan ;2022;4627;4627;31269;6,76
Jiwan ;2023;4570;4570;31608;6,92
Jiwan ;2024;4673;4485;31008;6,91
